NR	quantity	creating list	creating BST	 search list	 search BST	 delete list	 delete BST
1	1000	684	202	1177	87	62	93
2	2000	2976	431	5433	183	133	166
3	3000	6995	733	13473	296	194	248
4	4000	12861	927	27884	431	265	351
5	5000	20850	1151	49096	641	350	510
6	6000	30013	1382	77211	714	401	500
7	7000	52810	1721	140711	822	494	566
8	8000	70575	1919	200104	951	554	636
9	9000	93966	2192	259953	1115	600	739
10	10000	119670	2561	351666	1329	692	866
11	11000	161342	2782	454989	1404	721	1008
12	12000	198767	2985	580780	1576	803	1015
13	13000	246252	3394	714646	1750	903	1140
14	14000	316802	3592	872753	1909	944	1226
15	15000	383642	3870	1039941	2097	1017	1383
16	16000	448143	4118	1209514	2299	1057	1356
17	17000	528071	4404	1391194	2391	1121	1746
18	18000	622650	4786	1607146	2614	1194	1533
19	19000	707107	5056	1800821	2733	1267	1603
20	20000	788902	5362	2024285	2945	1362	1676
5648	2031343	3042	1304	1727
20	20000	809220	5499	2040738	2894	1401	1644

24	12500	281326	3833	645375	2216	817	1022
25	13000	304897	4014	701468	2453	885	1289
26	13500	336443	4220	782481	2496	894	1111
27	14000	364816	5238	843990	2566	920	1157
28	14500	409640	4546	945559	2685	1005	1195
29	15000	448925	4723	1025712	2785	1004	1250
30	15500	486372	5057	1104879	3006	1031	1341
31	16000	528187	5073	1193707	3056	1113	1336
32	16500	565203	5297	1281486	3139	1092	1432
33	17000	605529	5481	1364163	3214	1131	1402
34	17500	656206	5700	1483682	3376	1179	1446
35	18000	704465	6005	1592363	3616	1224	1534
36	18500	751429	6201	1679902	3750	1243	1617
37	19000	808521	6370	1788059	3994	1256	1733
38	19500	868941	6525	1886975	4284	1302	1651
39	20000	910414	6569	2001243	4019	1320	1659
40	20500	967138	6747	2119718	4134	1377	1683
41	21000	1024932	6946	2247238	4236	1408	1744
42	21500	1074771	7341	2370421	4558	1445	1955
43	22000	1141000	7505	2489168	4640	1480	1873
44	22500	1190309	7512	2630847	4753	1495	1887
45	23000	1260198	7820	2745582	4842	1528	1902
46	23500	1351673	8133	2900548	4956	1586	2010
47	24000	1399987	8573	3013151	5120	1622	2094
48	24500	1483970	8518	3157039	5169	1653	2110
49	25000	1522691	8861	3305256	5381	1676	2141
50	25500	1607248	8911	3458754	5507	1700	2200
51	26000	1669784	9049	3615779	5546	1742	2158
52	26500	1750231	9358	3732847	5733	1803	2280
53	27000	1830062	9569	3887566	5908	1849	2396
54	27500	1898285	9609	4049637	6025	1846	2397
55	28000	1993221	10113	4206239	6248	1903	2547
56	28500	2066668	10207	4368827	6295	1911	2568
57	29000	2161429	10614	4561798	6375	1923	2478
58	29500	2229254	10340	4734989	6477	1985	2478
59	30000	2323986	10498	4922709	6544	1995	2522
60	30500	2381623	11181	5073075	6913	2063	2686
61	31000	2473228	11177	5233047	6971	2077	2681
8000	88107	2472	177088	1479	483	628
72	8100	88390	2582	181594	1486	509	644
73	8200	93239	2612	192197	1523	503	680
74	8300	92469	2841	193002	1550	516	677
75	8400	92049	2647	199013	1501	523	667
76	8500	100031	2687	216285	1547	527	704
77	8600	103323	2764	212877	1607	533	672
78	8700	107259	2777	222230	1650	535	683
79	8800	106975	2822	225862	1657	528	717
80	8900	114492	3032	249753	1744	553	720
81	9000	117701	3005	244080	1722	555	714
82	9100	130305	2959	277430	1726	548	709
83	9200	115580	2970	257479	1767	568	735
84	9300	131392	3387	273004	1810	569	743
85	9400	129501	3119	283306	1835	575	752
86	9500	148553	3090	306840	1840	586	738
87	9600	155986	3244	320586	1876	603	781
88	9700	149383	3175	316882	1937	598	811
89	9800	139431	3234	332151	1891	595	769
90	9900	156539	3364	339910	1934	617	807
91	10000	162381	3399	359540	1967	635	818
